Tag ID,Timestamp,Value,Equipment Name
CP-U79-R4-H3R19_C8_6,2023-04-05 13:41:15,317.9212362984358,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:41:20,357.39009194527614,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:41:25,327.2828105070515,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:41:30,319.4350701683493,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:41:35,346.03754720018395,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:41:40,306.71011647564376,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:41:45,349.21890619184336,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:41:50,309.3929949055556,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:41:55,308.1312570060183,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:00,339.30925005546504,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:05,326.1022693932349,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:10,326.2252613965281,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:15,330.02198914825755,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:20,326.3138060850212,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:25,333.28821019329325,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:30,339.39234953718403,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:35,341.6159766703282,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:40,303.5605006552445,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:45,352.0149016523555,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:50,322.8522806920665,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:42:55,354.8618035165698,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:43:00,336.9172002308529,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:43:05,335.7204719484671,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:43:10,314.9060260658154,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:43:15,355.51566832454625,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:43:20,311.37421600110935,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:43:25,333.39677125803576,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:43:30,351.32113513298856,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:43:35,306.151523868306,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:43:40,306.9366305363866,Fan Inlet Temp
CP-U79-R4-H3R19_C8_6,2023-04-05 13:43:45,351.46543492974627,Fan Inlet Temp
